time,issue_id,event_id,type,author,action,url
2024-11-27 08:55:25+00:00,149,15449210043,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board-test/issues/149
2024-11-27 08:55:22+00:00,148,15449209478,label,Sebastienlejeune,labeled Culture Goal,https://github.com/ospo-alliance/my-ggi-board-test/issues/148
2024-11-27 08:55:22+00:00,148,15449209487,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board-test/issues/148
2024-11-27 08:55:22+00:00,148,15449209492,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board-test/issues/148
2024-11-27 08:55:22+00:00,148,15449209496,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board-test/issues/148
2024-11-27 08:55:19+00:00,147,15449208437,label,Sebastienlejeune,labeled Culture Goal,https://github.com/ospo-alliance/my-ggi-board-test/issues/147
2024-11-27 08:55:19+00:00,147,15449208456,label,Sebastienlejeune,labeled Developer,https://github.com/ospo-alliance/my-ggi-board-test/issues/147
2024-11-27 08:55:19+00:00,147,15449208473,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board-test/issues/147
2024-11-27 08:55:19+00:00,147,15449208496,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board-test/issues/147
2024-11-27 08:55:16+00:00,146,15449207744,label,Sebastienlejeune,labeled Culture Goal,https://github.com/ospo-alliance/my-ggi-board-test/issues/146
2024-11-27 08:55:16+00:00,146,15449207753,label,Sebastienlejeune,labeled Developer,https://github.com/ospo-alliance/my-ggi-board-test/issues/146
2024-11-27 08:55:16+00:00,146,15449207758,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board-test/issues/146
2024-11-27 08:55:16+00:00,146,15449207786,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board-test/issues/146
2024-11-27 08:55:13+00:00,145,15449207053,label,Sebastienlejeune,labeled Developer,https://github.com/ospo-alliance/my-ggi-board-test/issues/145
2024-11-27 08:55:13+00:00,145,15449207078,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board-test/issues/145
2024-11-27 08:55:13+00:00,145,15449207087,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board-test/issues/145
2024-11-27 08:55:13+00:00,145,15449207096,label,Sebastienlejeune,labeled Trust Goal,https://github.com/ospo-alliance/my-ggi-board-test/issues/145
2024-11-27 08:55:10+00:00,144,15449206369,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board-test/issues/144
2024-11-27 08:55:10+00:00,144,15449206378,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board-test/issues/144
2024-11-27 08:55:10+00:00,144,15449206388,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board-test/issues/144
2024-11-27 08:55:10+00:00,144,15449206396,label,Sebastienlejeune,labeled Trust Goal,https://github.com/ospo-alliance/my-ggi-board-test/issues/144
2024-11-27 08:55:07+00:00,143,15449205690,label,Sebastienlejeune,labeled Developer,https://github.com/ospo-alliance/my-ggi-board-test/issues/143
2024-11-27 08:55:07+00:00,143,15449205698,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board-test/issues/143
2024-11-27 08:55:07+00:00,143,15449205701,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board-test/issues/143
2024-11-27 08:55:07+00:00,143,15449205705,label,Sebastienlejeune,labeled Trust Goal,https://github.com/ospo-alliance/my-ggi-board-test/issues/143
2024-11-27 08:55:04+00:00,142,15449204884,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board-test/issues/142
2024-11-27 08:55:04+00:00,142,15449204894,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board-test/issues/142
2024-11-27 08:55:04+00:00,142,15449204905,label,Sebastienlejeune,labeled Trust Goal,https://github.com/ospo-alliance/my-ggi-board-test/issues/142
2024-11-27 08:55:01+00:00,141,15449204279,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board-test/issues/141
2024-11-27 08:55:01+00:00,141,15449204289,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board-test/issues/141
2024-11-27 08:55:01+00:00,141,15449204298,label,Sebastienlejeune,labeled Trust Goal,https://github.com/ospo-alliance/my-ggi-board-test/issues/141
2024-11-27 08:54:58+00:00,140,15449203684,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board-test/issues/140
2024-11-27 08:54:58+00:00,140,15449203688,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board-test/issues/140
2024-11-27 08:54:58+00:00,140,15449203694,label,Sebastienlejeune,labeled Usage Goal,https://github.com/ospo-alliance/my-ggi-board-test/issues/140
2024-11-27 08:54:55+00:00,139,15449203181,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board-test/issues/139
2024-11-27 08:54:55+00:00,139,15449203186,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board-test/issues/139
